School_group,Major_cat,School,Major,Year,Gender,Age,Close_friend,Closefriend_inout,GPAX,Health_status,Health_status_iden,Family_type,Recieve_care,Recieve_care_other,Family_income,Family_income_enough,Studen_income,Student_income_enough,Dormitory,Relation_fam,Relation_friend,Relation_aj,Feel_uni_1,Feel_uni_2,Feel_uni_3,Feel_uni_4,Feel_uni_5,Feel_uni_6,Feel_envi_7,Feel_envi_8,Feel_envi_9,Feel_envi_10,Feel_envi_11,Feel_envi_12,Feel_envi_13,Feel_envi_14,Relax_activity,Problem,Problem_study,Problem_love,Problem_adjust,Problem_econ,Problem_other,Attitude,Attitude_iden,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,5,1,1.50,1,,2,1,,15000,1,5000,1,2,-5,-5,-5,-4,-3,-5,-5,-5,999,-5,-2,999,999,-4,999,-5,-5,#NULL!,1,1,0,1,0,0,2.0,ให้ความปรึกษาได้,3,4,3,2,3,4,3,3,2,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,5,1,2.36,2,แพ้อากาศบางครั้ง,1,1,,999,3,6000,1,2,5,5,-4,5,-5,-3,-3,5,5,-4,-5,5,5,999,999,5,-5,#NULL!,1,1,0,0,0,0,1.0,,3,3,3,3,3,4,4,3,2,3,3,4,1,3,3,3,4,3,3,3,4,3,4,3,3,1,3,3,3,4
1,1.00,การจัดการ,บัญชี,3,1,20,3,1,2.72,1,,2,1,,100000,2,15000,1,2,5,5,1,5,2,2,999,999,999,2,2,999,2,999,999,999,5,#NULL!,1,0,0,0,1,0,1.0,,3,3,3,3,3,5,5,4,3,5,3,5,3,3,3,3,4,3,3,3,3,3,3,5,3,1,1,1,5,3
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,3,1,2.13,1,,1,1,,999,3,6000,1,2,5,4,3,3,1,0,1,3,999,2,999,999,3,3,999,999,5,#NULL!,1,1,0,0,0,0,2.0,สนุกดี,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
1,1.00,การจัดการ,โลจิสติกส์และโซ่อุปทาน,3,1,21,2,2,2.52,1,,2,1,,999,3,40000,1,2,5,3,4,4,2,5,2,4,3,2,-3,999,3,3,999,999,5,#NULL!,1,1,0,1,0,0,1.0,,3,4,5,4,4,4,5,5,4,5,4,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,4,4,5,3
1,1.00,การจัดการ,การท่องเที่ยว,2,1,20,4,1,3.00,1,,2,1,,20000,2,6000,2,2,5,5,2,3,4,1,2,4,5,-4,-5,999,5,5,999,5,5,#NULL!,1,1,0,0,0,0,2.0,การเรียนการสอนมีหลากหลายรูปแบบ,5,5,3,3,3,5,5,4,4,4,4,4,3,3,4,4,4,3,4,2,3,4,4,4,2,3,4,4,4,4
1,1.00,การจัดการ,การบัญชี,3,1,20,12,2,3.19,1,,2,1,,50000,1,5000,1,1,5,4,1,5,3,3,3,4,3,4,1,5,5,3,999,5,5,#NULL!,1,1,0,0,0,0,2.0,ถึงจะเครียดไปบ้างแต่ก็สนุกและท้าทายดีและเนื้อหาที่เรียนก็ไม่ซ้ำได้เจอวิชาใหม่ๆทุกปี,4,5,5,4,4,3,5,5,2,4,3,5,1,3,3,5,5,1,3,5,5,5,4,5,3,4,1,1,5,4
1,1.00,การจัดการ,โลจิสติกส์ และโซ่อุปทาน,2,1,20,1,1,3.33,1,,2,1,,80000,1,8500,1,2,5,4,3,4,999,999,999,5,999,4,-5,999,4,3,999,5,5,#NULL!,1,1,0,0,1,0,2.0,อาจารย์ประจำสาขามีความใส่ใจกับนักศึกษา,4,5,4,4,3,3,4,4,3,3,4,4,2,3,5,4,5,2,4,4,4,3,5,2,4,3,2,1,2,1
1,1.00,การจัดการ,บริหารธุรกิจ,3,1,21,6,1,3.00,1,,1,1,,300000,1,10000,1,2,5,5,4,4,4,4,4,4,4,3,3,999,4,3,999,5,5,#NULL!,1,1,0,0,0,1,2.0,ได้รับความรู้หลายๆด้าน ทั้งสาขาที่เรียนและสาขาใกล้เคียงที่สามารถนำไปประกอบอาชีพได้,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,3,3,3
1,1.00,การจัดการ,การท่องเที่ยว,2,1,20,3,1,2.40,1,,1,1,,130000,2,6000,1,1,5,4,3,3,2,999,2,4,4,4,0,999,4,3,999,5,5,#NULL!,1,1,0,0,1,0,1.0,,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
